DATE,Energy_Consumption,TAVG,TMAX,TMIN,PRCP,Year_x,Real GDP (millions of chained 2017 dollars),Year_y,Total Employment (number of jobs),Month,Year,DayOfWeek,Energy_Consumption_Lag_1,Energy_Consumption_Lag_2,Energy_Consumption_Lag_3,Energy_Consumption_Lag_4,Energy_Consumption_Lag_5,Energy_Consumption_Lag_6,Energy_Consumption_Lag_7,Energy_Consumption_Lag_8,Energy_Consumption_Lag_9,Energy_Consumption_Lag_10,Energy_Consumption_Lag_11,Energy_Consumption_Lag_12,Energy_Consumption_Rolling_Mean
2019-07-01,1.264047458630911,-0.1063839454652113,69.39283412551971,44.30824557179714,4.459074249588356,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,7,2019,0,26016.96997,22952.42836,22118.00421,17072.51452,21427.79741,20562.24693,16783.77126,19334.99603,16963.48016,18956.69382,21459.87126,26098.31993,24590.060013333336
2019-06-01,-0.6270213352516733,-0.2777561130245196,65.63532169346958,42.00603086402483,4.707212325345074,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,6,2019,5,24800.78171,26016.96997,22952.42836,22118.00421,17072.51452,21427.79741,20562.24693,16783.77126,19334.99603,16963.48016,18956.69382,21459.87126,23425.338773333333
2019-05-01,-0.35823024188712665,-0.46493235664717303,65.32774553045705,43.40854682464592,3.95751495671079,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,5,2019,2,19458.26464,24800.78171,26016.96997,22952.42836,22118.00421,17072.51452,21427.79741,20562.24693,16783.77126,19334.99603,16963.48016,18956.69382,21492.227013333333
2019-04-01,-1.2022876683281085,-0.3456905039778594,66.1839351639958,45.36387962088473,3.403175370955793,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,4,2019,0,20217.63469,19458.26464,24800.78171,26016.96997,22952.42836,22118.00421,17072.51452,21427.79741,20562.24693,16783.77126,19334.99603,16963.48016,19169.65374
2019-03-01,-0.5890769036289328,0.35131491078608146,62.91369503762248,47.46559022930433,3.6508486052484175,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,3,2019,4,17833.06189,20217.63469,19458.26464,24800.78171,26016.96997,22952.42836,22118.00421,17072.51452,21427.79741,20562.24693,16783.77126,19334.99603,19205.386403333334
2019-02-01,-1.2110772996806696,-0.6983219999141352,63.52328766766649,47.68921889606282,4.177681433359113,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,2,2019,4,19565.46263,17833.06189,20217.63469,19458.26464,24800.78171,26016.96997,22952.42836,22118.00421,17072.51452,21427.79741,20562.24693,16783.77126,18402.251516666667
2019-01-01,-0.043227057802991256,0.8238654564452975,61.753182833552245,45.897352989523625,4.358195380642623,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,1,2019,1,17808.23003,19565.46263,17833.06189,20217.63469,19458.26464,24800.78171,26016.96997,22952.42836,22118.00421,17072.51452,21427.79741,20562.24693,19493.75087
2018-12-01,-0.5517577633646829,0.17605647201722668,67.26111363115993,44.276271887761794,4.054636264807419,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,12,2018,5,21107.55995,17808.23003,19565.46263,17833.06189,20217.63469,19458.26464,24800.78171,26016.96997,22952.42836,22118.00421,17072.51452,21427.79741,19528.89469
2018-11-01,-1.0333043715379862,0.5608033938348986,64.24732183184273,42.49094847847261,5.367232659550407,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,11,2018,3,19670.89409,21107.55995,17808.23003,19565.46263,17833.06189,20217.63469,19458.26464,24800.78171,26016.96997,22952.42836,22118.00421,17072.51452,19696.305293333335
2018-10-01,0.41949811871734566,0.12666542246854817,61.79912028679984,46.152178547225965,4.467046890857664,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,10,2018,0,18310.46184,19670.89409,21107.55995,17808.23003,19565.46263,17833.06189,20217.63469,19458.26464,24800.78171,26016.96997,22952.42836,22118.00421,20132.058373333333
2018-09-01,-0.3247365171542356,-0.4883343748652288,66.16679368491214,48.266859701568734,4.250531944775431,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,9,2018,5,22414.81919,18310.46184,19670.89409,21107.55995,17808.23003,19565.46263,17833.06189,20217.63469,19458.26464,24800.78171,26016.96997,22952.42836,20345.846626666666
2018-08-01,3.06000543459485,0.3900651921201352,62.96827014535299,44.310109228540455,5.182988963052341,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,8,2018,2,20312.25885,22414.81919,18310.46184,19670.89409,21107.55995,17808.23003,19565.46263,17833.06189,20217.63469,19458.26464,24800.78171,26016.96997,24200.558766666665
2018-07-01,1.4559283838966894,-0.9518071241671132,59.5095450184426,46.10474613831892,5.576927079642446,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,7,2018,6,29874.59826,20312.25885,22414.81919,18310.46184,19670.89409,21107.55995,17808.23003,19565.46263,17833.06189,20217.63469,19458.26464,24800.78171,25176.575856666666
2018-06-01,-0.04631854630545848,-0.16423206762877932,59.744791914597705,46.6623144169258,4.291798094212266,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,6,2018,4,25342.87046,29874.59826,20312.25885,22414.81919,18310.46184,19670.89409,21107.55995,17808.23003,19565.46263,17833.06189,20217.63469,19458.26464,25438.764936666663
2018-05-01,-0.478456277484619,0.20711487321743133,63.83274909548698,43.349539377473086,4.211300002673937,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,5,2018,1,21098.82609,25342.87046,29874.59826,20312.25885,22414.81919,18310.46184,19670.89409,21107.55995,17808.23003,19565.46263,17833.06189,20217.63469,22106.55898
2018-04-01,-1.005509111764146,-1.0134096073209053,62.85480288067502,48.87306860532304,4.051863171385497,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,4,2018,6,19877.98039,21098.82609,25342.87046,29874.59826,20312.25885,22414.81919,18310.46184,19670.89409,21107.55995,17808.23003,19565.46263,17833.06189,19788.597856666664
2018-03-01,0.09896344954172745,-0.4279706654926712,61.6738446636886,45.89943753629437,3.637646382952931,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,3,2018,3,18388.98709,19877.98039,21098.82609,25342.87046,29874.59826,20312.25885,22414.81919,18310.46184,19670.89409,21107.55995,17808.23003,19565.46263,19925.41141333333
2018-02-01,-1.154432347612328,-0.13715858126317684,62.43620061390525,47.85879597697577,3.1261262807097703,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,2,2018,3,21509.26676,18388.98709,19877.98039,21098.82609,25342.87046,29874.59826,20312.25885,22414.81919,18310.46184,19670.89409,21107.55995,17808.23003,19288.837763333333
2018-01-01,-0.27419349806132415,-0.33777277924665294,62.70077195606832,44.771659597605,5.770978848185351,2018,0.23943376934750335,2018-01-01 00:00:00,0.5657938249161388,1,2018,0,17968.25944,21509.26676,18388.98709,19877.98039,21098.82609,25342.87046,29874.59826,20312.25885,22414.81919,18310.46184,19670.89409,21107.55995,19977.525233333334
2017-12-01,-0.4761542567983845,-0.13920250604011894,62.49227807649167,42.802636956179015,4.38492804074628,2017,-0.15771192875798698,2017-01-01 00:00:00,0.11479991936530995,12,2017,4,20455.0495,17968.25944,21509.26676,18388.98709,19877.98039,21098.82609,25342.87046,29874.59826,20312.25885,22414.81919,18310.46184,19670.89409,19435.930946666667
2017-11-01,-0.6411385956620347,-0.7941685215336857,64.73941545049775,43.379825808403965,3.745141567572319,2017,-0.15771192875798698,2017-01-01 00:00:00,0.11479991936530995,11,2017,2,19884.4839,20455.0495,17968.25944,21509.26676,18388.98709,19877.98039,21098.82609,25342.87046,29874.59826,20312.25885,22414.81919,18310.46184,19919.304976666666
2017-10-01,0.0037526397996432517,-0.19356194082522793,59.46358658962113,40.32210711012298,4.042451921896686,2017,-0.15771192875798698,2017-01-01 00:00:00,0.11479991936530995,10,2017,6,19418.38153,19884.4839,20455.0495,17968.25944,21509.26676,18388.98709,19877.98039,21098.82609,25342.87046,29874.59826,20312.25885,22414.81919,20181.049726666664
2017-09-01,1.0518342726560346,-0.34483952380073785,63.10690386518926,44.1268030743532,4.3217560194332005,2017,-0.15771192875798698,2017-01-01 00:00:00,0.11479991936530995,9,2017,4,21240.28375,19418.38153,19884.4839,20455.0495,17968.25944,21509.26676,18388.98709,19877.98039,21098.82609,25342.87046,29874.59826,20312.25885,21619.972313333332
2017-08-01,1.954070307481547,-0.11286935675858666,59.66162898421271,43.57043006150467,3.817082703585637,2017,-0.15771192875798698,2017-01-01 00:00:00,0.11479991936530995,8,2017,1,24201.25166,21240.28375,19418.38153,19884.4839,20455.0495,17968.25944,21509.26676,18388.98709,19877.98039,21098.82609,25342.87046,29874.59826,24063.907353333332
2017-07-01,1.4992198560664773,-0.4055541673764751,60.95300083501108,42.48331876772751,4.459196274136033,2017,-0.15771192875798698,2017-01-01 00:00:00,0.11479991936530995,7,2017,5,26750.18665,24201.25166,21240.28375,19418.38153,19884.4839,20455.0495,17968.25944,21509.26676,18388.98709,19877.98039,21098.82609,25342.87046,25472.204283333336
2017-06-01,0.7151371812694335,-1.144424221753262,62.39351391574417,46.25009281155905,3.869631731762469,2017,-0.15771192875798698,2017-01-01 00:00:00,0.11479991936530995,6,2017,3,25465.17454,26750.18665,24201.25166,21240.28375,19418.38153,19884.4839,20455.0495,17968.25944,21509.26676,18388.98709,19877.98039,21098.82609,25155.133153333332
2017-05-01,-0.41719827915164215,-0.7149781153724655,63.29087392786058,43.95039021875712,3.46482772344185,2017,-0.15771192875798698,2017-01-01 00:00:00,0.11479991936530995,5,2017,0,23250.03827,25465.17454,26750.18665,24201.25166,21240.28375,19418.38153,19884.4839,20455.0495,17968.25944,21509.26676,18388.98709,19877.98039,22922.085023333333
2017-04-01,-0.9546343133659646,-0.13943096378083578,62.308257099898,41.563824305102045,3.901578826651428,2017,-0.15771192875798698,2017-01-01 00:00:00,0.11479991936530995,4,2017,5,20051.04226,23250.03827,25465.17454,26750.18665,24201.25166,21240.28375,19418.38153,19884.4839,20455.0495,17968.25944,21509.26676,18388.98709,20611.265196666664
